ID,Class/Subclass,Family,Accession
Lg_BarHA,ANTP/NKL,BarhI,XP_009044278
Lg_BarHB,ANTP/NKL,BarhI,XP_009056433
Lg_BarHC,ANTP/NKL,BarhI,XP_009056432
Lg_Barx,ANTP/NKL,Barx,XP_009059854
Lg_Bsx,ANTP/NKL,Bsx,XP_009060220
Lg_Dbx,ANTP/NKL,Dbx,XP_009066869
Lg_NKL,ANTP/NKL,N/A,XP_009052285
Lg_Lbx,ANTP/NKL,Lbx,XP_009058205
Lg_Dlx,ANTP/NKL,Dlx,XP_009046454
Lg_TlxA,ANTP/NKL,Tlx,XP_009058326
Lg_TlxB,ANTP/NKL,Tlx,XP_009058325
Lg_Hex,ANTP/NKL,Hhex,XP_009062725
Lg_Nk2.1,ANTP/NKL,Nk2.1,XP_009054966
Lg_Nk2.2,ANTP/NKL,Nk2.2,XP_009059107
Lg_Nk3,ANTP/NKL,Nk3,XP_009052277
Lg_Hmx,ANTP/NKL,Nk5/Hmx,XP_009054389
Lg_Nk6,ANTP/NKL,Nk6,XP_009050993
Lg_EmxA,ANTP/NKL,Emx,XP_009064180
Lg_EmxB,ANTP/NKL,Emx,XP_009064183
Lg_Noto,ANTP/NKL,Noto,XP_009052286
Lg_Ro,ANTP/NKL,Ro,XP_009063633
Lg_EnA,ANTP/NKL,En,XP_009046280
Lg_EnB,ANTP/NKL,En,XP_009064335
Lg_EnC,ANTP/NKL,En,XP_009061658
Lg_EnD,ANTP/NKL,En,XP_009061659
Lg_Nk1A,ANTP/NKL,Nk1,XP_009064186
Lg_Nk1B,ANTP/NKL,Nk1,XP_009066408
Lg_Msx,ANTP/NKL,Msx,XP_009046718
Lg_Msxlx,ANTP/NKL,Msxlx,XP_009059114
Lg_Nk7,ANTP/NKL,Nk7,XP_009066205
Lg_Hbn,ANTP/NKL,Hbn,XP_009054715
Lg_NKLHD20,ANTP/NKL,N/A,XP_009052284
Lg_NKLHD21,ANTP/NKL,N/A,XP_009059113
Lg_NKLHD22,ANTP/NKL,N/A,XP_009046719
Lg_NKLHD23,ANTP/NKL,N/A,XP_009046720
Lg_NKLHD24,ANTP/NKL,N/A,XP_009052412
Lg_NKLHD25,ANTP/NKL,N/A,XP_009052766
Lg_NKLHD26,ANTP/NKL,N/A,XP_009065555
Lg_Arx,PRD,Arx,XP_009063369
Lg_VsxA,PRD,Vsx,XP_009054967
Lg_VsxB,PRD,Vsx,XP_009054977
Lg_VsxC,PRD,Vsx,XP_009054978
Lg_Uncx,PRD,Uncx,XP_009061966
Lg_Otp,PRD,Otp,XP_009054827
Lg_Otx,PRD,Otx,XP_009061628
Lg_Dmbx,PRD,Dmbx,XP_009063547
Lg_Gsc,PRD,Gsc,XP_009063840
Lg_Pitx,PRD,Pitx,XP_009063549
Lg_PRD8,PRD,N/A,XP_009044716
Lg_PRD7,PRD,N/A,XP_009048758
Lg_Prxx,PRD,Prrx,XP_009056566
Lg_Pax3/7,PRD,Pax3/7,XP_009050791
Lg_Pax6,PRD,Pax4/6,XP_009066032
Lg_Drgx,PRD,Drgx,XP_009048095
Lg_Prop,PRD,Prop,XP_009061543
Lg_Pax4/6,PRD,Pax4/6,XP_009044491
Lg_PRD1,PRD,N/A,XP_009048517
Lg_Rax,PRD,Rax,XP_009054825
Lg_Shox,PRD,Shox,XP_009044513
Lg_Repo,PRD,Repo,XP_009062849
Lg_PRD4A,PRD,N/A,XP_009053594
Lg_PRD4B,PRD,N/A,XP_009053595
