ID,Class/Subclass,Family,Accession
Ct_BarHA,ANTP/NKL,BarhI,ELT89855
Ct_BarHB,ANTP/NKL,BarhI,ELU17302
Ct_BarHC,ANTP/NKL,BarhI,ELT89857
Ct_BarHD,ANTP/NKL,BarhI,ELU17321
Ct_Barx,ANTP/NKL,Barx,ELT96753
Ct_Bsx,ANTP/NKL,Bsx,ELU12043
Ct_Dbx,ANTP/NKL,Dbx,ELT91289
Ct_NKLA,ANTP/NKL,N/A,ELU02973
Ct_NKLB,ANTP/NKL,N/A,ELU02409
Ct_Lbx,ANTP/NKL,Lbx,ELU03844
Ct_DlxA,ANTP/NKL,Dlx,ELU07960
Ct_DlxB,ANTP/NKL,Dlx,ELU07962
Ct_Tlx,ANTP/NKL,Tlx,ELT91422
Ct_HexA,ANTP/NKL,Hhex,ELU04434
Ct_HexB,ANTP/NKL,Hhex,ELT99309
Ct_Nk2.1A,ANTP/NKL,Nk2.1,ELT98863
Ct_Nk2.1B,ANTP/NKL,Nk2.1,ELT98862
Ct_Nk2.2A,ANTP/NKL,Nk2.2,ELU04268
Ct_Nk2.2B,ANTP/NKL,Nk2.2,ELU04267
Ct_Nk3,ANTP/NKL,Nk3,ELT97082
Ct_HmxA,ANTP/NKL,Nk5/Hmx,ELU04136
Ct_HmxB,ANTP/NKL,Nk5/Hmx,ELU04137
Ct_HmxC,ANTP/NKL,Nk5/Hmx,ELU03076
Ct_Nk6,ANTP/NKL,Nk6,ELT92066
Ct_EmxA,ANTP/NKL,Emx,ELU15123
Ct_EmxB,ANTP/NKL,Emx,ELU15122
Ct_Noto,ANTP/NKL,Noto,ELT91693
Ct_RoA,ANTP/NKL,Ro,ELU07966
Ct_RoB,ANTP/NKL,Ro,ELT93731
Ct_RoC,ANTP/NKL,Ro,ELU07970
Ct_EnA,ANTP/NKL,En,ELT88638
Ct_EnB,ANTP/NKL,En,ELT88639
Ct_EnC,ANTP/NKL,En,ELT99719
Ct_Nk1A,ANTP/NKL,Nk1,ELT87636
Ct_Nk1B,ANTP/NKL,Nk1,ELT87635
Ct_Msxlx,ANTP/NKL,Msxlx,ELT94141
Ct_Nk7,ANTP/NKL,Nk7,ELT91428
Ct_Hbn,ANTP/NKL,Hbn,ELT93804
Ct_NKLHD20,ANTP/NKL,N/A,ELT97515
Ct_NKLHD21,ANTP/NKL,N/A,ELT98790
Ct_NKLHD22,ANTP/NKL,N/A,ELT89776
Ct_NKLHD23,ANTP/NKL,N/A,ELU07957
Ct_NKLHD24,ANTP/NKL,N/A,ELT97078
Ct_NKLHD25,ANTP/NKL,N/A,ELU12918
Ct_NKLHD26,ANTP/NKL,N/A,ELT89775
Ct_NKLHD27,ANTP/NKL,N/A,ELT97079
Ct_Arx,PRD,Arx,ELU17445
Ct_VsxA,PRD,Vsx,ELU07640
Ct_VsxB,PRD,Vsx,ELU07641
Ct_VsxC,PRD,Vsx,ELU07641
Ct_UncxA,PRD,Uncx,ELT92834
Ct_UncxB,PRD,Uncx,ELT92833
Ct_OtpA,PRD,Otp,ELT93813
Ct_OtpB,PRD,Otp,ELT93814
Ct_PRD6,PRD,N/A,ELU17800
Ct_Otx,PRD,Otx,ELU13551
Ct_Dmbx,PRD,Dmbx,ELT87953
Ct_GscA,PRD,Gsc,ELT92585
