Definition,ID,Class/Subclass,Family,Accession
Hr_83426,BarHA,ANTP/NKL,BarhI,XP_009021903
Hr_152036,BarHB,ANTP/NKL,BarhI,XP_009012574
Hr_152427,BarHC,ANTP/NKL,BarhI,XP_009017495
Hr_148404,BsxA,ANTP/NKL,Bsx,XP_009019557
Hr_148469,BsxB,ANTP/NKL,Bsx,XP_009017137
Hr_74087,Dbx,ANTP/NKL,Dbx,XP_009013183
Hr_127018,LbxA,ANTP/NKL,Lbx,XP_009019358
Hr_173001A,LbxB,ANTP/NKL,Lbx,XP_009017898
Hr_173001B,LbxC,ANTP/NKL,Lbx,XP_009017898
Hr_174136,LbxD,ANTP/NKL,Lbx,XP_009018927
Hr_90927,Dlx,ANTP/NKL,Dlx,XP_009031752
Hr_85050,TlxA,ANTP/NKL,Tlx,XP_009023898
Hr_192586,TlxB,ANTP/NKL,Tlx,XP_009021359
Hr_80789,Hex,ANTP/NKL,Hhex,XP_009018926
Hr_82552,Nk2.1A,ANTP/NKL,Nk2.1,XP_009021080
Hr_109698,Nk2.1B,ANTP/NKL,Nk2.1,XP_009012582
Hr_127610,Nk2.1C,ANTP/NKL,Nk2.1,XP_009028059
Hr_148584,Nk2.1D,ANTP/NKL,Nk2.1,XP_009026688
Hr_127681,Nk2.2A,ANTP/NKL,Nk2.2,XP_009028481
Hr_137589,Nk2.2B,ANTP/NKL,Nk2.2,XP_009012581
Hr_146775,Nk2.2C,ANTP/NKL,Nk2.2,XP_009010860
Hr_148517,Nk2.2D,ANTP/NKL,Nk2.2,XP_009014530
Hr_148581,Nk2.2E,ANTP/NKL,Nk2.2,XP_009014232
Hr_138724,Nk3A,ANTP/NKL,Nk3,XP_009013232
Hr_148616,Nk3B,ANTP/NKL,Nk3,XP_009010989
Hr_83996,HmxA,ANTP/NKL,Hmx,XP_009022048
Hr_148321,HmxB,ANTP/NKL,Hmx,XP_009020615
Hr_148410,HmxC,ANTP/NKL,Hmx,XP_009011692
Hr_148580,HmxD,ANTP/NKL,Hmx,XP_009020619
Hr_86957,Nk6A,ANTP/NKL,Nk6,XP_009026598
Hr_135991,Nk6B,ANTP/NKL,Nk6,XP_009030513
Hr_153075,Nk6C,ANTP/NKL,Nk6,XP_009012671
Hr_72685,EmxA,ANTP/NKL,Emx,XP_009011197
Hr_76140,EmxB,ANTP/NKL,Emx,XP_009014159
Hr_87335,EmxC,ANTP/NKL,Emx,XP_009026850
Hr_134799,EmxD,ANTP/NKL,Emx,XP_009021464
Hr_137390,EmxE,ANTP/NKL,Emx,XP_009013693
Hr_153720,EmxF,ANTP/NKL,Emx,XP_009030439
Hr_159193,EmxG,ANTP/NKL,Emx,XP_009009343
